"return_id","return_type","market","partner","logistics_provider","owner","status","created_date","due_date","last_update_date","closed_date","item_description","quantity","value_eur","currency","delay_reason","notes","source_label"
"DXR-2338","Service part","Netherlands","Hospital Partner NL","BritShip Medical","Joost Vermeer","Closed","2026-06-19","2026-06-28","2026-07-04","2026-06-28","CT collimator module","2","49847","EUR","Normal transit","Synthetic record: normal transit noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2339","Service part","France","BioClinique FR","NordicRoute AB","Claire Martin","Received","2026-06-08","2026-06-12","2026-07-01","","MRI RF coil","3","51478","EUR","Missing export document","Synthetic record: missing export document noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2340","Finished device","Spain","Iberia Health","EastMed Transport","Marta Ruiz","Return authorized","2026-05-28","2026-05-27","2026-06-28","","Vital signs monitor","4","55909","EUR","Inspection queue","Synthetic record: inspection queue noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2341","Service part","Italy","Clinica Nord IT","Atlantic MedFreight","Luca Romano","Awaiting market action","2026-05-17","2026-06-14","2026-06-25","","X-ray detector module","5","54740","EUR","Inspection backlog","Synthetic record: inspection backlog noted for Italy return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2342","Service part","United Kingdom","NHS Trust Demo","Alpine Freight AG","Sarah Collins","Inspection pending","2026-05-06","2026-05-29","2026-06-22","","Ultrasound probe assembly","6","56371","EUR","Awaiting pickup window","Synthetic record: awaiting pickup window noted for United Kingdom return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2343","Finished device","Sweden","Nordic Care SE","TransLine Europe","Erik Lind","Customs hold","2026-04-25","2026-05-13","2026-07-07","","Portable ultrasound unit","1","53602","EUR","Pickup missed","Synthetic record: pickup missed noted for Sweden return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2344","Service part","Belgium","BeLux Diagnostics","NorthSea Freight","Marie Dubois","In transit","2026-04-14","2026-04-27","2026-07-04","","CT gantry sensor","2","52433","EUR","Customer site access","Synthetic record: customer site access noted for Belgium return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2345","Service part","Austria","Alpen Klinik AT","EuroRoute Logistics","Thomas Gruber","Pickup pending","2026-06-26","2026-07-04","2026-07-01","","Image reconstruction board","3","54064","EUR","Pickup capacity","Synthetic record: pickup capacity noted for Austria return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2346","Finished device","Poland","Warsaw Health PL","MedMove Logistics","Piotr Nowak","Closed","2026-06-15","2026-06-18","2026-06-28","2026-06-18","Emergency care display","4","58495","EUR","Receiving backlog","Synthetic record: receiving backlog noted for Poland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2347","Service part","Denmark","Copenhagen Imaging","BritShip Medical","Freja Hansen","Received","2026-06-04","2026-06-02","2026-06-25","","Detector calibration kit","5","57326","EUR","Pickup reschedule","Synthetic record: pickup reschedule noted for Denmark return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2348","Service part","Ireland","Dublin Care IE","NordicRoute AB","Niamh Byrne","Return authorized","2026-05-24","2026-06-20","2026-06-22","","CT collimator module","6","58957","EUR","Commodity code mismatch","Synthetic record: commodity code mismatch noted for Ireland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2349","Finished device","Switzerland","Swiss Imaging AG","EastMed Transport","Lena Meier","Awaiting market action","2026-05-13","2026-06-04","2026-07-07","","Anesthesia workstation","1","56188","EUR","Disposition pending","Synthetic record: disposition pending noted for Switzerland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2350","Service part","Portugal","Lisbon Diagnostics","Atlantic MedFreight","Ines Silva","Inspection pending","2026-05-02","2026-05-19","2026-07-04","","Power distribution board","2","55019","EUR","Carrier handoff","Synthetic record: carrier handoff noted for Portugal return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2351","Service part","Norway","Oslo Care NO","Alpine Freight AG","Kari Olsen","Customs hold","2026-04-21","2026-05-03","2026-07-01","","X-ray detector module","3","56650","EUR","Border processing","Synthetic record: border processing noted for Norway return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2352","Finished device","Finland","Helsinki Imaging","TransLine Europe","Aino Virtanen","In transit","2026-04-10","2026-04-17","2026-06-28","","Defibrillator system","4","61081","EUR","Missing local approval","Synthetic record: missing local approval noted for Finland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2353","Service part","Germany","MedServ DE","NorthSea Freight","Anna Keller","Pickup pending","2026-06-22","2026-06-24","2026-06-25","","MRI cooling pump","5","59912","EUR","Missing due date","Synthetic record: missing due date noted for Germany return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2354","Service part","Netherlands","Hospital Partner NL","EuroRoute Logistics","Joost Vermeer","Closed","2026-06-11","2026-06-08","2026-06-22","2026-06-08","CT gantry sensor","6","61543","EUR","Normal processing","Synthetic record: normal processing noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2355","Finished device","France","BioClinique FR","MedMove Logistics","Claire Martin","Received","2026-05-31","2026-06-26","2026-07-07","","Mobile C-arm","1","58774","EUR","Awaiting packaging","Synthetic record: awaiting packaging noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2356","Service part","Spain","Iberia Health","BritShip Medical","Marta Ruiz","Return authorized","2026-05-20","2026-06-10","2026-07-04","","Gradient amplifier card","2","57605","EUR","Normal transit","Synthetic record: normal transit noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2357","Service part","Italy","Clinica Nord IT","NordicRoute AB","Luca Romano","Awaiting market action","2026-05-09","2026-05-25","2026-07-01","","Detector calibration kit","3","59236","EUR","Missing export document","Synthetic record: missing export document noted for Italy return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2358","Finished device","United Kingdom","NHS Trust Demo","EastMed Transport","Sarah Collins","Inspection pending","2026-04-28","2026-05-09","2026-06-28","","Telemetry station","4","63667","EUR","Inspection queue","Synthetic record: inspection queue noted for United Kingdom return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2359","Service part","Sweden","Nordic Care SE","Atlantic MedFreight","Erik Lind","Customs hold","2026-04-17","2026-04-23","2026-06-25","","MRI RF coil","5","62498","EUR","Inspection backlog","Synthetic record: inspection backlog noted for Sweden return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2360","Service part","Belgium","BeLux Diagnostics","Alpine Freight AG","Marie Dubois","In transit","2026-06-29","2026-06-30","2026-06-22","","Power distribution board","6","64129","EUR","Awaiting pickup window","Synthetic record: awaiting pickup window noted for Belgium return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2361","Finished device","Austria","Alpen Klinik AT","TransLine Europe","Thomas Gruber","Pickup pending","2026-06-18","2026-06-14","2026-07-07","","Patient monitor unit","1","61360","EUR","Pickup missed","Synthetic record: pickup missed noted for Austria return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2362","Service part","Poland","Warsaw Health PL","NorthSea Freight","Piotr Nowak","Closed","2026-06-07","2026-07-02","2026-07-04","2026-07-02","Ultrasound probe assembly","2","60191","EUR","Customer site access","Synthetic record: customer site access noted for Poland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2363","Service part","Denmark","Copenhagen Imaging","EuroRoute Logistics","Freja Hansen","Received","2026-05-27","2026-06-16","2026-07-01","","MRI cooling pump","3","9822","EUR","Pickup capacity","Synthetic record: pickup capacity noted for Denmark return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2364","Finished device","Ireland","Dublin Care IE","MedMove Logistics","Niamh Byrne","Return authorized","2026-05-16","2026-05-31","2026-06-28","","Respiratory monitor","4","14253","EUR","Receiving backlog","Synthetic record: receiving backlog noted for Ireland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2365","Service part","Switzerland","Swiss Imaging AG","BritShip Medical","Lena Meier","Awaiting market action","2026-05-05","2026-05-15","2026-06-25","","Image reconstruction board","5","13084","EUR","Pickup reschedule","Synthetic record: pickup reschedule noted for Switzerland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2366","Service part","Portugal","Lisbon Diagnostics","NordicRoute AB","Ines Silva","Inspection pending","2026-04-24","2026-04-29","2026-06-22","","Gradient amplifier card","6","14715","EUR","Commodity code mismatch","Synthetic record: commodity code mismatch noted for Portugal return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2367","Finished device","Norway","Oslo Care NO","EastMed Transport","Kari Olsen","Customs hold","2026-04-13","2026-04-13","2026-07-07","","Patient telemetry receiver","1","11946","EUR","Disposition pending","Synthetic record: disposition pending noted for Norway return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2368","Service part","Finland","Helsinki Imaging","Atlantic MedFreight","Aino Virtanen","In transit","2026-06-25","2026-06-20","2026-07-04","","CT collimator module","2","10777","EUR","Carrier handoff","Synthetic record: carrier handoff noted for Finland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2369","Service part","Germany","MedServ DE","Alpine Freight AG","Anna Keller","Pickup pending","2026-06-14","2026-07-08","2026-07-01","","MRI RF coil","3","12408","EUR","Border processing","Synthetic record: border processing noted for Germany return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2370","Finished device","Netherlands","Hospital Partner NL","TransLine Europe","Joost Vermeer","Closed","2026-06-03","2026-06-22","2026-06-28","2026-06-22","Vital signs monitor","4","16839","EUR","Missing local approval","Synthetic record: missing local approval noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2371","Service part","France","BioClinique FR","NorthSea Freight","Claire Martin","Received","2026-05-23","","2026-06-25","","X-ray detector module","5","15670","EUR","Missing due date","Synthetic record: missing due date noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2372","Service part","Spain","Iberia Health","EuroRoute Logistics","Marta Ruiz","Return authorized","2026-05-12","2026-05-21","2026-06-22","","Ultrasound probe assembly","6","17301","EUR","Normal processing","Synthetic record: normal processing noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2373","Finished device","Italy","Clinica Nord IT","MedMove Logistics","Luca Romano","Awaiting market action","2026-05-01","2026-05-05","2026-07-07","","Portable ultrasound unit","1","14532","EUR","Awaiting packaging","Synthetic record: awaiting packaging noted for Italy return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2374","Service part","United Kingdom","NHS Trust Demo","BritShip Medical","Sarah Collins","Inspection pending","2026-04-20","2026-04-19","2026-07-04","","CT gantry sensor","2","13363","EUR","Normal transit","Synthetic record: normal transit noted for United Kingdom return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2375","Service part","Sweden","Nordic Care SE","NordicRoute AB","Erik Lind","Customs hold","2026-04-09","2026-05-07","2026-07-01","","Image reconstruction board","3","14994","EUR","Missing export document","Synthetic record: missing export document noted for Sweden return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2376","Finished device","Belgium","BeLux Diagnostics","EastMed Transport","Marie Dubois","In transit","2026-06-21","2026-07-14","2026-06-28","","Emergency care display","4","19425","EUR","Inspection queue","Synthetic record: inspection queue noted for Belgium return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2377","Service part","Austria","Alpen Klinik AT","Atlantic MedFreight","Thomas Gruber","Pickup pending","2026-06-10","2026-06-28","2026-06-25","","Detector calibration kit","5","18256","EUR","Inspection backlog","Synthetic record: inspection backlog noted for Austria return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2378","Service part","Poland","Warsaw Health PL","Alpine Freight AG","Piotr Nowak","Closed","2026-05-30","2026-06-12","2026-06-22","2026-06-12","CT collimator module","6","19887","EUR","Awaiting pickup window","Synthetic record: awaiting pickup window noted for Poland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2379","Finished device","Denmark","Copenhagen Imaging","TransLine Europe","Freja Hansen","Received","2026-05-19","2026-05-27","2026-07-07","","Anesthesia workstation","1","17118","EUR","Pickup missed","Synthetic record: pickup missed noted for Denmark return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2380","Service part","Ireland","Dublin Care IE","NorthSea Freight","Niamh Byrne","Return authorized","2026-05-08","2026-05-11","2026-07-04","","Power distribution board","2","15949","EUR","Customer site access","Synthetic record: customer site access noted for Ireland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2381","Service part","Switzerland","Swiss Imaging AG","EuroRoute Logistics","Lena Meier","Awaiting market action","2026-04-27","2026-04-25","2026-07-01","","X-ray detector module","3","17580","EUR","Pickup capacity","Synthetic record: pickup capacity noted for Switzerland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2382","Finished device","Portugal","Lisbon Diagnostics","MedMove Logistics","Ines Silva","Inspection pending","2026-04-16","2026-05-13","2026-06-28","","Defibrillator system","4","22011","EUR","Receiving backlog","Synthetic record: receiving backlog noted for Portugal return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2383","Service part","Norway","Oslo Care NO","BritShip Medical","Kari Olsen","Customs hold","2026-06-28","2026-07-20","2026-06-25","","MRI cooling pump","5","20842","EUR","Pickup reschedule","Synthetic record: pickup reschedule noted for Norway return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2384","Service part","Finland","Helsinki Imaging","NordicRoute AB","Aino Virtanen","In transit","2026-06-17","2026-07-04","2026-06-22","","CT gantry sensor","6","22473","EUR","Commodity code mismatch","Synthetic record: commodity code mismatch noted for Finland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2385","Finished device","Germany","MedServ DE","EastMed Transport","Anna Keller","Pickup pending","2026-06-06","2026-06-18","2026-07-07","","Mobile C-arm","1","19704","EUR","Disposition pending","Synthetic record: disposition pending noted for Germany return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2386","Service part","Netherlands","Hospital Partner NL","Atlantic MedFreight","Joost Vermeer","Closed","2026-05-26","2026-06-02","2026-07-04","2026-06-02","Gradient amplifier card","2","18535","EUR","Carrier handoff","Synthetic record: carrier handoff noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2387","Service part","France","BioClinique FR","Alpine Freight AG","Claire Martin","Received","2026-05-15","2026-05-17","2026-07-01","","Detector calibration kit","3","20166","EUR","Border processing","Synthetic record: border processing noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2388","Finished device","Spain","Iberia Health","TransLine Europe","Marta Ruiz","Return authorized","2026-05-04","2026-05-01","2026-06-28","","Telemetry station","4","24597","EUR","Missing local approval","Synthetic record: missing local approval noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2389","Service part","Italy","Clinica Nord IT","NorthSea Freight","Luca Romano","Awaiting market action","2026-04-23","2026-05-19","2026-06-25","","MRI RF coil","5","23428","EUR","Missing due date","Synthetic record: missing due date noted for Italy return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2390","Service part","United Kingdom","NHS Trust Demo","EuroRoute Logistics","Sarah Collins","Inspection pending","2026-04-12","2026-05-03","2026-06-22","","Power distribution board","6","25059","EUR","Normal processing","Synthetic record: normal processing noted for United Kingdom return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2391","Finished device","Sweden","Nordic Care SE","MedMove Logistics","Erik Lind","Customs hold","2026-06-24","2026-07-10","2026-07-07","","Patient monitor unit","1","22290","EUR","Awaiting packaging","Synthetic record: awaiting packaging noted for Sweden return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2392","Service part","Belgium","BeLux Diagnostics","BritShip Medical","Marie Dubois","In transit","2026-06-13","2026-06-24","2026-07-04","","Ultrasound probe assembly","2","21121","EUR","Normal transit","Synthetic record: normal transit noted for Belgium return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2393","Service part","Austria","Alpen Klinik AT","NordicRoute AB","Thomas Gruber","Pickup pending","2026-06-02","2026-06-08","2026-07-01","","MRI cooling pump","3","22752","EUR","Missing export document","Synthetic record: missing export document noted for Austria return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2394","Finished device","Poland","Warsaw Health PL","EastMed Transport","Piotr Nowak","Closed","2026-05-22","2026-05-23","2026-06-28","2026-05-23","Respiratory monitor","4","27183","EUR","Inspection queue","Synthetic record: inspection queue noted for Poland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2395","Service part","Denmark","Copenhagen Imaging","Atlantic MedFreight","Freja Hansen","Received","2026-05-11","2026-05-07","2026-06-25","","Image reconstruction board","5","26014","EUR","Inspection backlog","Synthetic record: inspection backlog noted for Denmark return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2396","Service part","Ireland","Dublin Care IE","Alpine Freight AG","Niamh Byrne","Return authorized","2026-04-30","2026-05-25","2026-06-22","","Gradient amplifier card","6","27645","EUR","Awaiting pickup window","Synthetic record: awaiting pickup window noted for Ireland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2397","Finished device","Switzerland","Swiss Imaging AG","TransLine Europe","Lena Meier","Awaiting market action","2026-04-19","2026-05-09","2026-07-07","","Patient telemetry receiver","1","24876","EUR","Pickup missed","Synthetic record: pickup missed noted for Switzerland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2398","Service part","Portugal","Lisbon Diagnostics","NorthSea Freight","Ines Silva","Inspection pending","2026-04-08","2026-04-23","2026-07-04","","CT collimator module","2","23707","EUR","Customer site access","Synthetic record: customer site access noted for Portugal return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2399","Service part","Norway","Oslo Care NO","EuroRoute Logistics","Kari Olsen","Customs hold","2026-06-20","2026-06-30","2026-07-01","","MRI RF coil","3","25338","EUR","Pickup capacity","Synthetic record: pickup capacity noted for Norway return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2400","Finished device","Finland","Helsinki Imaging","MedMove Logistics","Aino Virtanen","In transit","2026-06-09","2026-06-14","2026-06-28","","Vital signs monitor","4","29769","EUR","Receiving backlog","Synthetic record: receiving backlog noted for Finland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2401","Service part","Germany","MedServ DE","BritShip Medical","Anna Keller","Pickup pending","2026-05-29","2026-05-29","2026-06-25","","X-ray detector module","5","28600","EUR","Pickup reschedule","Synthetic record: pickup reschedule noted for Germany return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2402","Service part","Netherlands","Hospital Partner NL","NordicRoute AB","Joost Vermeer","Closed","2026-05-18","2026-05-13","2026-06-22","2026-05-13","Ultrasound probe assembly","6","30231","EUR","Commodity code mismatch","Synthetic record: commodity code mismatch noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2403","Finished device","France","BioClinique FR","EastMed Transport","Claire Martin","Received","2026-05-07","2026-05-31","2026-07-07","","Portable ultrasound unit","1","27462","EUR","Disposition pending","Synthetic record: disposition pending noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2404","Service part","Spain","Iberia Health","Atlantic MedFreight","Marta Ruiz","Return authorized","2026-04-26","2026-05-15","2026-07-04","","CT gantry sensor","2","26293","EUR","Carrier handoff","Synthetic record: carrier handoff noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2405","Service part","Italy","Clinica Nord IT","Alpine Freight AG","Luca Romano","Awaiting market action","2026-04-15","2026-04-29","2026-07-01","","Image reconstruction board","3","27924","EUR","Border processing","Synthetic record: border processing noted for Italy return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2406","Finished device","United Kingdom","NHS Trust Demo","TransLine Europe","Sarah Collins","Inspection pending","2026-06-27","2026-07-06","2026-06-28","","Emergency care display","4","32355","EUR","Missing local approval","Synthetic record: missing local approval noted for United Kingdom return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2407","Service part","Sweden","Nordic Care SE","NorthSea Freight","Erik Lind","Customs hold","2026-06-16","2026-06-20","2026-06-25","","Detector calibration kit","5","31186","EUR","Missing due date","Synthetic record: missing due date noted for Sweden return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2408","Service part","Belgium","BeLux Diagnostics","EuroRoute Logistics","Marie Dubois","In transit","2026-06-05","","2026-06-22","","CT collimator module","6","32817","EUR","Missing due date","Synthetic record: missing due date noted for Belgium return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2409","Finished device","Austria","Alpen Klinik AT","MedMove Logistics","Thomas Gruber","Pickup pending","2026-05-25","2026-06-22","2026-07-07","","Anesthesia workstation","1","30048","EUR","Awaiting packaging","Synthetic record: awaiting packaging noted for Austria return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2410","Service part","Poland","Warsaw Health PL","BritShip Medical","Piotr Nowak","Closed","2026-05-14","2026-06-06","2026-07-04","2026-06-06","Power distribution board","2","28879","EUR","Normal transit","Synthetic record: normal transit noted for Poland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2411","Service part","Denmark","Copenhagen Imaging","NordicRoute AB","Freja Hansen","Received","2026-05-03","2026-05-21","2026-07-01","","X-ray detector module","3","30510","EUR","Missing export document","Synthetic record: missing export document noted for Denmark return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2412","Finished device","Ireland","Dublin Care IE","EastMed Transport","Niamh Byrne","Return authorized","2026-04-22","2026-05-05","2026-06-28","","Defibrillator system","4","34941","EUR","Inspection queue","Synthetic record: inspection queue noted for Ireland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2413","Service part","Switzerland","Swiss Imaging AG","Atlantic MedFreight","Lena Meier","Awaiting market action","2026-04-11","2026-04-19","2026-06-25","","MRI cooling pump","5","33772","EUR","Inspection backlog","Synthetic record: inspection backlog noted for Switzerland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2414","Service part","Portugal","Lisbon Diagnostics","Alpine Freight AG","Ines Silva","Inspection pending","2026-06-23","2026-06-26","2026-06-22","","CT gantry sensor","6","35403","EUR","Awaiting pickup window","Synthetic record: awaiting pickup window noted for Portugal return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2415","Finished device","Norway","Oslo Care NO","TransLine Europe","Kari Olsen","Customs hold","2026-06-12","2026-06-10","2026-07-07","","Mobile C-arm","1","32634","EUR","Pickup missed","Synthetic record: pickup missed noted for Norway return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2416","Service part","Finland","Helsinki Imaging","NorthSea Freight","Aino Virtanen","In transit","2026-06-01","2026-06-28","2026-07-04","","Gradient amplifier card","2","31465","EUR","Customer site access","Synthetic record: customer site access noted for Finland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2417","Service part","Germany","MedServ DE","EuroRoute Logistics","Anna Keller","Pickup pending","2026-05-21","2026-06-12","2026-07-01","","Detector calibration kit","3","33096","EUR","Pickup capacity","Synthetic record: pickup capacity noted for Germany return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2418","Finished device","Netherlands","Hospital Partner NL","MedMove Logistics","Joost Vermeer","Closed","2026-05-10","2026-05-27","2026-06-28","2026-05-27","Telemetry station","4","37527","EUR","Receiving backlog","Synthetic record: receiving backlog noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2419","Service part","France","BioClinique FR","BritShip Medical","Claire Martin","Received","2026-04-29","2026-05-11","2026-06-25","","MRI RF coil","5","36358","EUR","Pickup reschedule","Synthetic record: pickup reschedule noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2420","Service part","Spain","Iberia Health","NordicRoute AB","Marta Ruiz","Return authorized","2026-04-18","2026-04-25","2026-06-22","","Power distribution board","6","37989","EUR","Commodity code mismatch","Synthetic record: commodity code mismatch noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2421","Finished device","Italy","Clinica Nord IT","EastMed Transport","Luca Romano","Awaiting market action","2026-06-30","2026-07-02","2026-07-07","","Patient monitor unit","1","35220","EUR","Disposition pending","Synthetic record: disposition pending noted for Italy return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2422","Service part","United Kingdom","NHS Trust Demo","Atlantic MedFreight","Sarah Collins","Inspection pending","2026-06-19","2026-06-16","2026-07-04","","Ultrasound probe assembly","2","34051","EUR","Carrier handoff","Synthetic record: carrier handoff noted for United Kingdom return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2423","Service part","Sweden","Nordic Care SE","Alpine Freight AG","Erik Lind","Customs hold","2026-06-08","2026-07-04","2026-07-01","","MRI cooling pump","3","35682","EUR","Border processing","Synthetic record: border processing noted for Sweden return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2424","Finished device","Belgium","BeLux Diagnostics","TransLine Europe","Marie Dubois","In transit","2026-05-28","2026-06-18","2026-06-28","","Respiratory monitor","4","40113","EUR","Missing local approval","Synthetic record: missing local approval noted for Belgium return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2425","Service part","Austria","Alpen Klinik AT","NorthSea Freight","Thomas Gruber","Pickup pending","2026-05-17","2026-06-02","2026-06-25","","Image reconstruction board","5","38944","EUR","Missing due date","Synthetic record: missing due date noted for Austria return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2426","Service part","Poland","Warsaw Health PL","EuroRoute Logistics","Piotr Nowak","Closed","2026-05-06","2026-05-17","2026-06-22","2026-05-17","Gradient amplifier card","6","40575","EUR","Normal processing","Synthetic record: normal processing noted for Poland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2427","Finished device","Denmark","Copenhagen Imaging","MedMove Logistics","Freja Hansen","Received","2026-04-25","2026-05-01","2026-07-07","","Patient telemetry receiver","1","37806","EUR","Awaiting packaging","Synthetic record: awaiting packaging noted for Denmark return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2428","Service part","Ireland","Dublin Care IE","BritShip Medical","Niamh Byrne","Return authorized","2026-04-14","2026-04-15","2026-07-04","","CT collimator module","2","36637","EUR","Normal transit","Synthetic record: normal transit noted for Ireland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2429","Service part","Switzerland","Swiss Imaging AG","NordicRoute AB","Lena Meier","Awaiting market action","2026-06-26","2026-06-22","2026-07-01","","MRI RF coil","3","38268","EUR","Missing export document","Synthetic record: missing export document noted for Switzerland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2430","Finished device","Portugal","Lisbon Diagnostics","EastMed Transport","Ines Silva","Inspection pending","2026-06-15","2026-07-10","2026-06-28","","Vital signs monitor","4","42699","EUR","Inspection queue","Synthetic record: inspection queue noted for Portugal return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2431","Service part","Norway","Oslo Care NO","Atlantic MedFreight","Kari Olsen","Customs hold","2026-06-04","2026-06-24","2026-06-25","","X-ray detector module","5","41530","EUR","Inspection backlog","Synthetic record: inspection backlog noted for Norway return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2432","Service part","Finland","Helsinki Imaging","Alpine Freight AG","Aino Virtanen","In transit","2026-05-24","2026-06-08","2026-06-22","","Ultrasound probe assembly","6","43161","EUR","Awaiting pickup window","Synthetic record: awaiting pickup window noted for Finland return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2433","Finished device","Germany","MedServ DE","TransLine Europe","Anna Keller","Pickup pending","2026-05-13","2026-05-23","2026-07-07","","Portable ultrasound unit","1","40392","EUR","Pickup missed","Synthetic record: pickup missed noted for Germany return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2434","Service part","Netherlands","Hospital Partner NL","NorthSea Freight","Joost Vermeer","Closed","2026-05-02","2026-05-07","2026-07-04","2026-05-07","CT gantry sensor","2","39223","EUR","Customer site access","Synthetic record: customer site access noted for Netherlands return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2435","Service part","France","BioClinique FR","EuroRoute Logistics","Claire Martin","Received","2026-04-21","2026-04-21","2026-07-01","","Image reconstruction board","3","40854","EUR","Pickup capacity","Synthetic record: pickup capacity noted for France return; generated for scale testing only.","Synthetic generated demo data"
"DXR-2436","Finished device","Spain","Iberia Health","MedMove Logistics","Marta Ruiz","Return authorized","2026-04-10","2026-04-05","2026-06-28","","Emergency care display","4","45285","EUR","Receiving backlog","Synthetic record: receiving backlog noted for Spain return; generated for scale testing only.","Synthetic generated demo data"
